7response,context,context/0,context/1,context/2
 You gonna magically change your connectivity for me and my whole family ? ðŸ¤¥ ðŸ’¯ ," We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. ", Since I signed up with you....Since day 1 ," H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? ","yâ€all lie about your â€œgreatâ€ connection. 5 bars LTE, still wonâ€t load something. Smh. "
 I'm trying to buy the digital deluxe edition on the ps store but I keep receiving an error message ," No problem, let us know if you come across any other issues or questions in the future. We are happy to help. ", Thanks , Yes you can pre order the game on the console store. For more information please contact your console store. ,can you still pre oder ww2 on the playstation store 
" my colleagues for more info on how this is affecting services, thanks. 2/2 ", Ah maybe could help on this one ," Nothing, partner was on a train to Preston had to get a Taxi rest of way as was told no trains into Preston for a few hours ", What have you seen? ,Something going on at Preston train station ? 
" Hi Yana, followed! "," Hi Emma, Could you please follow us so we can DM you again with the email reply sent to you =) Yana ", Hi Yana I donâ€t have any DMs from you. Did you mean email? , We have replied to you via DM. Check it out =) Yana ,CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs. 
 I can not find an option to get it there. It was just always there when playing. ," Just to confirm, this is only happening with Spotify, correct? ", The app is still there. But no longer able to control it from the lockscreen. , Thanks for reaching out to us. Are you experiencing the missing app after restating your device? ,After update no spotify on my lock screen?@AppleSupport 
 Amsterdam to London on 28/11/17 London to Athens on 30/11/17 have received confirmation for this Contact: +49 1708733216 ," Hi David, could you let us know the flights you've booked and dates of travel, along with your full name and contact number. Thanks. "," Not yet, but I thought it was strange that I received a confirmation email for one of the flights, but not the other. Thanks. "," Hi David, confirmation emails can take up to 24 hrs. Have you been waiting longer than this? ","I made two bookings, but only received a confirmation email for one of the flights. Little help? "
 Its working again , Please DM us a picture of the error you're receiving. , consider this your 1st reported error ," Hm, we haven't had any reported errors lately. Have you tried accessing your RR account via a different browser? ",is down on the my account page ðŸ˜‘ðŸ˜‘ 
 Hey! Did things go to plan? Just checking if your W. Broadway location in Vancouver is open today... ," Yeah, buddy! Send us a pic, for sure. ", Woohoo! I'm gonna be first in line. ðŸ˜„ ," If all goes to plan, we should be open on Friday! ",Hey Any word on when your 532 W. Broadway location in Vancouver will open? Can't wait any more!! 
 Worked ðŸ‘ŒðŸ½ , Please keep us posted afterwards. , No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that , Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it? ,why wonâ€t my apps fuccin download or update 
 Can I get the 35$ refunded for the seat cost I never got? ," We appreciate your feedback, Jenna and thank you for sharing your concerns. ", Flights are what they are already. Just frustrated. I got this Amex but no real perks. Wondering when the perks actually happen. ," Hi, Jenna. I apologize for your seating issue. Pls DM your conf if I may assist, ",just donâ€t know what I gotta do to not be treated like crap. Apparently spending thousands on your Amex isnâ€t cutting it. 
" She's been trying to do that, that's the point! You should be contacting her as she can't get through to you via phone or email ", Is your mother able to contact us directly? 2/2 , Can you please contact __email__ and can give you further details please , We're disappointed to hear this Stephen. Is there something you would like our assistance with? ,call centre has the worst customer serivce ever. keep you on hold for endless hours without an apology. Mum is not happy! 
 Well I have tried and they clearly said they can't as I opened the box ," Hi Mohammed, I'd advise returning the product returning the Nappies with your delivery documents to your nearest Metro,Superstore or Extra. My colleagues there will be able to assist further. Ty James ", Thanks this was an online order and I don't know why but all yh nappies were like this and I have been using this for over 9 months and never has this issue ," In this case, we'd recommend trying a smaller size to see if that helps. I'm also sorry to learn of the leaking, can I just check that you're referring to the absorbency gel please? Can you DM your full name, address and & email please? 2/2 ",hello i want to know recently I bough Ann online grocery order what some baby nappies in them as well but the nappies wouldn't even stay on the child for some reason one half box was like that and they were leaking so I called contact centre and they said they can't do nth 
 They only seem to have released 23rd?! Furious!! ðŸ˜¡ ," Hi Benny, sorry for the delay in replying! They're available now for our Delivery Saver customers :) Thanks Emma "," Really, OK ta. ", midnight apparently! ,"So when you say 'early hours' for the delivery saver Christmas slots, just how early please, lunch in the Ashes, or first drinks break? Cheers. "
 Whatâ€s the problem Tescoâ€s? Why is website busy !!!!!! ," Hi Benny, sorry for the delay in replying! They're available now for our Delivery Saver customers :) Thanks Emma "," Really, OK ta. ", midnight apparently! ,"So when you say 'early hours' for the delivery saver Christmas slots, just how early please, lunch in the Ashes, or first drinks break? Cheers. "
 I allowed it well past 8 PM. I was never notified about any other delays ," I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. "," I made a same day ship mid Monday and it said it would deliver that day. It didnâ€t. Today it still says out for delivery, still no show. ", Hello! We'd love to help. Can you tell us a bit more about what's happening? ,"hello, Iâ€m having an issue with a same day ship order. Can you help me? "
 11.0.3 ," Since we just released iOS 11.1 today, can you clarify which exact version you have installed? ", newest version of iOS and iPhone 7 ," We'll be happy to look into this with you. To clarify, which iPhone model do you have and what's the exact iOS version? ",My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth??? 
 So why put 4 in the reduced to clear at a price that is more expensive than 6? It's the same store. Misleading and incompetent. ," Hi Stephen, I have contacted the store and they have informed me that it is due to the 6 pack currently being half price. Thanks Mark ", It was 4 loose pies in poly bag with a label.. local staff said different ingredients was the reason! ," Hi Stephen, this is because the 6 pack of pies are currently half price at the moment whereas the 4 pack are not. Hope this helps. Kirsten ",Haddington: 6 x Mini Melton Mowbray Pies Â£1.00; 4 x Mini Melton Mowbray Pies on reduced shelf Â£1.04! 
" Over all connection, I get this notification from the phone as for loving in and out I did a fresh install, no luck! "," Thanks. Is it happening over 3G/4G, WiFi, or both? Does logging out, fully closing the app, and restarting your device help? /KC ", Spotify 8.4.24.871 Android version 7.0 device: a brand new Huawei mate 9 I will look like an ass if it's a matter of just updatesðŸ˜Š ," Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB ",the app is killing fixing this problem? How is this okay. I guess you are getting the money without any complaints 
 If you called an 0344 number this is inclusive in allowances otherwise charged same as 01 and & 02 numbers. , If you called an 0844 number this is premium rate with an additional Service Charge benefitting BA. , Actually I asked and the customer advisor and he said that it was local rate and I may not incur any cost. I need to make people aware ," Hi Maggie, we do advise our call charges online for when you need to contact us. ","you have charged me 32.19 for a phone call to book my flights which cost Â£3,700 "
" Ok thanks for your reply.I will keep an eye on the website.My husband and I are planning for next year, hopefully you run the route. Thank u ", website when they have been finalised. 2/2^Corry , Thanks. Do you know if you will be running it winter 2018? Specifically Dec 2018 Jan 2019. Planning a hol and was hoping to use this route ," Hi Diz, the Lima route is currently suspended for Winter 2017 from 29 Oct 2017 until 24 March 2018. ","do u run the direct BA flights lgw Lima / Lima LGW all year round? Was looking for Dec 2017, couldn't see any. Thanks "
" Like, any? ", We always want everyone to be comfy. You can ask our crew about any available open seats. ," Oh, my god, sheâ€s been going for ten minutes. "," Like, this is really bad. ",Yo Iâ€m on flight 48 32C (DFW to Paris) and sitting next to THE loudest baby Iâ€ve ever heard in my life. How about an upgrade? 
 I still need weekly sales report for 10/1-10/7. I call every day about this. I will continue to tweet and call until it's fixed. DM'd you. ," Let's take a look. Can I ask you to DM us your email address, full name and registered postal code so we can review?^CM ", I need my weekly sales report from 10/1-10/7. Will continue to call the until this issue is fixed (though I doubt this helps). , That's no good. We'll definitely look into that. Are you still seeing that issue? Please let us know. ,is super slow and extra glitchy today! Making my listing process fun and productive! Thanks!!! (Fix the site please). 
 Our crew is there to serve you and not deceive you in any way. We're also here to help so please share your flight details via DMs. , I have flown 15 times in the past 12 months and only departed on schedule 4 times. , After 1 hour of being lied to by the pilot we are now being totally inconvenienced by having to un-board this plane and board another plane meanwhile i should be landing in Miami in 50 minutes. Completely irresponsible and utmost negligent on Pilots behalf , We're sorry for the delay. The previous pilot may not have been aware of the problem. We appreciate your patience. ,"stuck on flight 609 in Charlotte over 55 minutes due to a computer card tech issue while pilot repeatedly advised it would only take a ""few minutes"" to fix. Why wasn't this issue reported by previous pilot that arrived minutes b4 we boarded in effort to save time? "
 My wide was told to move her small handbag from the floor of the bulkhead row while this 40lb dog sprawled in the aisle. , Any dogs you see outside of a kennel are either service or emotional support animals. ," Youâ€re missing my point. Numerous people tripped over the dog, not to mention anyone who might have been allergic. When did you change your policy to allow any size dog into cabins for any/no reason? "," We're sorry for the inconvenience, Nick. Did you ask a crew member if you could move to another seat? ",I love dogs but they donâ€t belong in It was bad enough when anyone could say they had a I canâ€t keep my small bag in the row but the woman next to me can have her 40lb dog? 
 I appreciate it. :) ," I just wanted to be sure you didn't need any help. But I am very happy to hear you enjoyed yourself at our event, please do not hesitate to reach out if you need any help. "," Oh, it's OK. No problems. I just had a fun time at that holiday spectacular y'all do here in Philly. :) ", Please let us know if you need any help or have any questions. ,"Insisted on going to the center and taking in the show with audio description for a second time. It was as much fun today as it was yesterday, and I still got teary-eyed, even knowing what was coming "
 ðŸŽƒ , Understood and I'm glad to hear you have a service visit. We're here 24/7 and are happy to help whenever you're ready. , On 11/3. Frankly you guys could do better!! ," Hi Gina. I can help turn those troubles around. Send me a DM with your full name, service address and phone number on the account. ",fails to deliver quality service. Have dealt w/ them all day and & still no resolution. 
 It , Are all of your apps updated as well? , iOS 11.1 , We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings &gt; and General &gt; and About. ,tell me why Iï¸â€Iâ€ve updated my phone twice and Iï¸ canâ€t type letter Iï¸ without getting a letter A and a question mark 
 Works. Blame IOS update. , Thanks for the info. Could you try logging out &gt; and restarting your device &gt; and logging back in to see if it helps? Keep us posted /AR , Doesnâ€t show in lock screen. Canâ€t adjust volume of phone isnâ€t unlocked also. , Hey there! Can you tell us more about what's happening exactly? We'll see what we can suggest /AR ,the new iOS is making your app way less usable. Would fancy walking around with a boom box after this update. 
" Thatâ€s funny, when we finally got on the plane the pilot told us it was an engine fault... ", We understand how this impacts on your day and weâ€re genuinely sorry.2/2^Corry ," It was the 10:35am from Edinburgh to Heathrow. We finally left around 2pm, not impressed BA... ", Can you let us know your flight number? We'd like to feed this back? 2/2 ,"not overly delighted at the long delay from Edinburgh today, nor the lack of information as to why or that Iâ€m not home yet "
" Yeah just curious why boarding always happens extra early at IND. Been almost ""late"" to door closure at 45+ min prior to departure. Not a problem at SEA closer to 30 min "," Yeah, looks about 3 mins behind schedule. ", Not sure. In the back of the plane but heard an announcement about doors closing. Still sitting at the gate past departure time. Finally turned on A/C ," Hey, do I understand that the flight is closed already? ",why does flight 501 IND-SEA always have final boarding called at the listed START boarding time? Currently sitting at the gate with doors closed for 30+ min. Not the first time on this flight number 
" I for one would not consider buying a Â£3k watch without seeing it first, how would I get the sellers details? "," Contact info can be exchanged after payment has been submitted through eBay, but not before. (1/2) "," But as a delivery driver, I canâ€t be opening the app constantly to respond to queries and if someone wants to let me know theyâ€re 5mins away ", We want to ensure eBay is safe and we can only protect our members if the conversation is kept on the site. ,why is it such a crime to put my phone number in messages when dealing with potential buyers regarding delivery info? 
 What is a dm , We're always here to help and we want you to have a great experience! Send us a DM with more information and we'll review. , I've talked to a supr with no assistance ," Oh! We place great emphasis on customer service.If you have any situation you need support, we're happy to check it if DM us ",is not a customer service co 
