7response,context,context/0,context/1,context/2,context/3,context/4,context/5
 I understand. I would like to assist you. We would need to get you into a private secured link to further assist. , I have sent several private messages and no one is responding as usual , Please send us a Private Message so that we can further assist you. Just click â€˜Messageâ€ at the top of your profile. , I did. ," Can you please send us a private message, so that I can gain further details about your account? ",is the worst customer service , , 
 You gonna magically change your connectivity for me and my whole family ? ðŸ¤¥ ðŸ’¯ ," We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. ", Since I signed up with you....Since day 1 ," H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? ","yâ€all lie about your â€œgreatâ€ connection. 5 bars LTE, still wonâ€t load something. Smh. ", , , 
" I finally got someone that helped me, thanks! ", Help has arrived! We are sorry to see that you are having trouble. How can we help? ,somebody from please help meeeeee ðŸ˜ðŸ˜ðŸ˜ðŸ˜ I'm having the worst luck with your customer service , , , , , 
" Donâ€t know, router is downstairs. But itâ€s just the WiFi Nothing connected to Ethernet ", Did the lights change on the router when this happened? , Just randomly boots me offline there it goes again ," Do you have our Fios service? When services go out, does the internet light on the router change color? ", Yep , Are all your services cutting out? , Cuts out every 20 minutes this is ridiculous , What did we do to make you feel this way and how can we fix things between us? 
" I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind! ", It's because you're smart. ,When you're the only one in costume , , , , , 
 Thank you for resolving my issue so quickly!! Yâ€all are the best â˜ºï¸ ,So frustrated with ðŸ˜¡ Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice , , , , , , 
" Tried, didn't work. How rude :/ ", Give it a try. ,can I dress up as myself and still qualify for a BOORITO? , , , , , 
 Also I got the onesie at target. So cozy , Thanks Becky! Just feeling sorry for myself because my fiancÃ is driving from D.C. To Mississippi tonight ," You won't be alone â€“ we'll be there with you. Also, I want that llama onesie. ",Considering walking to in my llama onesie alone happy Halloween ðŸ˜­ , , , , 
 It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now. , Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it? ,I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted.. , , , , , 
" As our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. Thanks ", Raw meat!!!! Itâ€s does not say unwrapped raw meat!!! Sainsburyâ€s donâ€t charge nor do Waitrose so y do you?! ," We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied ",y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service. , , , , 
" We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied ",y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service. , , , , , , 
" Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from ","hi, having trouble making purchases on Xbox one store for fifa points, can you help? ", , , , , , 
 I'm trying to buy the digital deluxe edition on the ps store but I keep receiving an error message ," No problem, let us know if you come across any other issues or questions in the future. We are happy to help. ", Thanks , Yes you can pre order the game on the console store. For more information please contact your console store. ,can you still pre oder ww2 on the playstation store , , , 
 Can you please give me your gamertag / platform you're playing on so I can pull up your account information. ,I got all of my stats reset on MWR and I don't know why. please help!!! , , , , , , 
 Can you show us what is appearing on your screen? ,"the 5 app on Xboxes not working error code 200, done a power cycle and still the same? Please fix app ", , , , , , 
" my colleagues for more info on how this is affecting services, thanks. 2/2 ", Ah maybe could help on this one ," Nothing, partner was on a train to Preston had to get a Taxi rest of way as was told no trains into Preston for a few hours ", What have you seen? ,Something going on at Preston train station ? , , , 
 my surname has been redundant where do i go to correct it? , Sorry as we checked booking has already expired due to no payment made. Kindly please proceed with new booking Ed , lost my booking chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__ ,"Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :) ", , , , 
" Hi Loreen,correction done! :) See you on board! Cheers!- Anwar ", Hi! I have DM u my booking and passport picture thanks so much for quick action ," Hi Loreen,kindly DM us your booking number and attach guest passport copy, we'll fix it for you, see you there!- Anwar ", hi! I have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line. , Sorry as we checked booking has already expired due to no payment made. Kindly please proceed with new booking Ed , lost my booking chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__ ,"Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :) ", 
 Hi Airasia. i want to rebook my return flight. but when i try rebooking my inbond also is rebooking. please help me. thanks , As you may check it under manage my booking online or during web check in. Date of birth will be shown accordingly.- Ed , but i cant see it. i only see itenerary.. no birthday ," Hi Loreen, you may check the passenger's date of birth via AirAsia member account under manage booking. Thanks-Sha ", Hi! i would like to know on my itenerary on how the birthday can be seen. i would like to double check if i can key in our birthdays right ðŸ‚ ," Hi Loreen,correction done! :) See you on board! Cheers!- Anwar ", Hi! I have DM u my booking and passport picture thanks so much for quick action ," Hi Loreen,kindly DM us your booking number and attach guest passport copy, we'll fix it for you, see you there!- Anwar "
" Hi Yana, followed! "," Hi Emma, Could you please follow us so we can DM you again with the email reply sent to you =) Yana ", Hi Yana I donâ€t have any DMs from you. Did you mean email? , We have replied to you via DM. Check it out =) Yana ,CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs. , , , 
